"id","weight"
"CCLE",0
"CCLE.Cluster 1",0
"CCLE.Cluster 2",0
"CCLE.Cluster 3",0
"CCLE.Cluster 4",0
"CCLE.Cluster 5",0
"CCLE.Cluster 6",0
"CCLE.Cluster 7",0
"CCLE.Cluster 8",0
"CCLE.Cluster 1.carcinoma",0
"CCLE.Cluster 1.other",0
"CCLE.Cluster 2.carcinoma",0
"CCLE.Cluster 2.malignant_melanoma",0
"CCLE.Cluster 2.carcinoid-endocrine_tumour",0
"CCLE.Cluster 2.NA",0
"CCLE.Cluster 3.glioma",0
"CCLE.Cluster 3.carcinoma",0
"CCLE.Cluster 3.primitive_neuroectodermal_tumour-medulloblastoma",0
"CCLE.Cluster 3.osteosarcoma",0
"CCLE.Cluster 3.lymphoid_neoplasm",0
"CCLE.Cluster 3.malignant_melanoma",0
"CCLE.Cluster 3.giant_cell_tumour",0
"CCLE.Cluster 3.rhabdomyosarcoma",0
"CCLE.Cluster 3.mesothelioma",0
"CCLE.Cluster 3.neuroblastoma",0
"CCLE.Cluster 3.leiomyosarcoma",0
"CCLE.Cluster 3.sarcoma",0
"CCLE.Cluster 3.chondrosarcoma",0
"CCLE.Cluster 4.carcinoma",0
"CCLE.Cluster 4.Ewings_sarcoma-peripheral_primitive_neuroectodermal_tumour",0
"CCLE.Cluster 4.neuroblastoma",0
"CCLE.Cluster 4.rhabdomyosarcoma",0
"CCLE.Cluster 5.carcinoma",0
"CCLE.Cluster 5.malignant_melanoma",0
"CCLE.Cluster 5.lymphoid_neoplasm",0
"CCLE.Cluster 5.glioma",0
"CCLE.Cluster 5.sex_cord-stromal_tumour",0
"CCLE.Cluster 5.rhabdoid_tumour",0
"CCLE.Cluster 5.malignant_fibrous_histiocytoma-pleomorphic_sarcoma",0
"CCLE.Cluster 5.fibrosarcoma",0
"CCLE.Cluster 5.haematopoietic_neoplasm",0
"CCLE.Cluster 5.rhabdomyosarcoma",0
"CCLE.Cluster 5.sarcoma",0
"CCLE.Cluster 5.mesothelioma",0
"CCLE.Cluster 5.primitive_neuroectodermal_tumour-medulloblastoma",0
"CCLE.Cluster 5.osteosarcoma",0
"CCLE.Cluster 6.carcinoma",0
"CCLE.Cluster 6.glioma",0
"CCLE.Cluster 6.other",0
"CCLE.Cluster 7.lymphoid_neoplasm",0
"CCLE.Cluster 8.rhabdoid_tumour",0
"CCLE.Cluster 8.carcinoma",0
"CCLE.Cluster 8.mesothelioma",0
"CCLE.Cluster 8.haematopoietic_neoplasm",0
"CCLE.Cluster 8.lymphoid_neoplasm",0
"CCLE.Cluster 8.Ewings_sarcoma-peripheral_primitive_neuroectodermal_tumour",0
"CCLE.Cluster 8.primitive_neuroectodermal_tumour-medulloblastoma",0
"CCLE.Cluster 8.osteosarcoma",0
"CCLE.Cluster 8.neuroblastoma",0
"CCLE.Cluster 8.leiomyosarcoma",0
